tecnologia,softskill,notaAvaliacoes
Java -> Android,Aberto para experiências,3.24
Java -> Android,Consienciosidade,2.86
Java -> Android,Extroversão,3.12
Java -> Android,Amabilidade,2.99
Java -> Android,Instabilidade Emocional,3.27
Java -> Backend,Aberto para experiências,3.11
Java -> Backend,Consienciosidade,2.89
Java -> Backend,Extroversão,2.99
Java -> Backend,Amabilidade,2.82
Java -> Backend,Instabilidade Emocional,3.12
Swift,Aberto para experiências,2.85
Swift,Consienciosidade,2.92
Swift,Extroversão,3.07
Swift,Amabilidade,2.78
Swift,Instabilidade Emocional,3.06
React.JS,Aberto para experiências,3.13
React.JS,Consienciosidade,3.02
React.JS,Extroversão,2.91
React.JS,Amabilidade,2.83
React.JS,Instabilidade Emocional,3.1
Python -> Dados,Aberto para experiências,2.96
Python -> Dados,Consienciosidade,2.95
Python -> Dados,Extroversão,3.02
Python -> Dados,Amabilidade,3.14
Python -> Dados,Instabilidade Emocional,2.95
Python -> Backend,Aberto para experiências,3.13
Python -> Backend,Consienciosidade,3.04
Python -> Backend,Extroversão,2.86
Python -> Backend,Amabilidade,2.7
Python -> Backend,Instabilidade Emocional,3.27
HTML,Aberto para experiências,3.03
HTML,Consienciosidade,2.81
HTML,Extroversão,2.95
HTML,Amabilidade,3.2
HTML,Instabilidade Emocional,3.14
Node,Aberto para experiências,3.07
Node,Consienciosidade,2.91
Node,Extroversão,2.94
Node,Amabilidade,3.11
Node,Instabilidade Emocional,3.02
R -> Dados,Aberto para experiências,2.94
R -> Dados,Consienciosidade,3.01
R -> Dados,Extroversão,2.91
R -> Dados,Amabilidade,2.89
R -> Dados,Instabilidade Emocional,2.97
C# -> Jogos,Aberto para experiências,3.13
C# -> Jogos,Consienciosidade,2.87
C# -> Jogos,Extroversão,3
C# -> Jogos,Amabilidade,3.17
C# -> Jogos,Instabilidade Emocional,3.13
Vue.JS,Aberto para experiências,3.17
Vue.JS,Consienciosidade,2.95
Vue.JS,Extroversão,3.45
Vue.JS,Amabilidade,2.89
Vue.JS,Instabilidade Emocional,2.84
